ImageId,EncodedPixels
0114f484a16c152baa2d82fdd43740880a762c93f436c8988ac461c5c9dbe7d5, 50279 8 50533 11 50787 14 51042 15 51297 17 51552 18 51808 18 52064 18 52320 18 52576 17 52832 16 53088 16 53344 15 53601 13 53859 9 54117 5
0114f484a16c152baa2d82fdd43740880a762c93f436c8988ac461c5c9dbe7d5, 50842 4 51096 7 51350 10 51605 11 51860 12 52115 13 52371 13 52626 13 52881 14 53137 13 53393 12 53649 11 53905 10 54161 9 54417 8 54674 5
0114f484a16c152baa2d82fdd43740880a762c93f436c8988ac461c5c9dbe7d5, 10892 6 11146 9 11401 11 11656 12 11911 13 12166 14 12422 13 12677 14 12933 13 13189 13 13445 12 13701 11 13957 10 14214 8 14472 4
0114f484a16c152baa2d82fdd43740880a762c93f436c8988ac461c5c9dbe7d5, 31377 2 31630 9 31884 13 32139 15 32394 16 32649 18 32904 19 33159 20 33415 19 33671 19 33927 18 34183 17 34439 16 34695 15 34952 12 35209 10 35467 6
0114f484a16c152baa2d82fdd43740880a762c93f436c8988ac461c5c9dbe7d5, 45103 9 45358 12 45613 14 45868 15 46124 15 46380 15 46636 14 46892 13 47149 11 47406 8
0114f484a16c152baa2d82fdd43740880a762c93f436c8988ac461c5c9dbe7d5, 38819 7 39074 8 39327 12 39582 13 39838 13 40093 14 40349 13 40605 13 40861 13 41118 11 41374 11 41631 9 41887 8 42145 4
0114f484a16c152baa2d82fdd43740880a762c93f436c8988ac461c5c9dbe7d5, 30878 1 31132 5 31388 6 31643 7 31899 7 32155 7 32411 7 32668 5 32926 2
0999dab07b11bc85fb8464fc36c947fbd8b5d6ec49817361cb780659ca805eac, 24167 11 24685 13 25202 17 25719 20 26236 23 26754 24 27272 26 27790 27 28308 29 28827 29 29345 30 29864 31 30383 30 30902 31 31421 30 31940 30 32459 29 32978 29 33497 28 34016 27 34535 27 35054 26 35574 24 36094 22 36614 21 37134 18 37656 13 38176 10
0999dab07b11bc85fb8464fc36c947fbd8b5d6ec49817361cb780659ca805eac, 50480 8 50997 11 51515 13 52032 16 52550 17 53068 18 53585 20 54104 20 54622 21 55140 22 55658 23 56177 22 56695 23 57213 23 57732 23 58251 22 58770 22 59289 21 59808 21 60327 20 60846 20 61365 19 61884 18 62403 18 62922 17 63441 17 63960 16 64480 14 64999 13 65519 12 66039 9
0999dab07b11bc85fb8464fc36c947fbd8b5d6ec49817361cb780659ca805eac, 93028 6 93545 11 94062 15 94580 17 95099 18 95617 20 96136 20 96654 22 97173 22 97692 23 98211 24 98730 24 99249 25 99768 26 100287 26 100807 25 101326 25 101845 25 102365 24 102884 24 103404 23 103924 22 104444 21 104964 19 105484 17 106006 14 106526 11
0999dab07b11bc85fb8464fc36c947fbd8b5d6ec49817361cb780659ca805eac, 20660 9 21177 12 21695 15 22212 18 22730 19 23249 20 23767 21 24285 23 24804 23 25322 24 25841 24 26359 25 26878 25 27396 25 27915 25 28433 25 28952 25 29471 25 29990 24 30509 24 31028 23 31547 23 32066 22 32585 21 33104 20 33623 19 34143 17 34663 14 35183 11 35704 6
0999dab07b11bc85fb8464fc36c947fbd8b5d6ec49817361cb780659ca805eac, 11230 9 11747 12 12265 15 12782 18 13300 20 13818 22 14335 25 14854 26 15373 27 15892 27 16411 28 16930 28 17449 28 17968 28 18487 28 19006 27 19525 27 20044 27 20563 26 21082 26 21601 25 22121 23 22641 21 23161 20 23681 17 24202 14 24722 11 25243 6
0999dab07b11bc85fb8464fc36c947fbd8b5d6ec49817361cb780659ca805eac, 71440 11 71958 13 72475 17 72993 19 73510 22 74028 24 74546 26 75064 28 75582 29 76100 30 76618 31 77136 32 77655 32 78173 33 78692 33 79210 33 79728 33 80247 32 80766 32 81285 30 81804 29 82323 28 82842 27 83361 26 83880 25 84400 22 84919 21 85439 18 85960 16 86480 12
0999dab07b11bc85fb8464fc36c947fbd8b5d6ec49817361cb780659ca805eac, 53204 8 53720 16 54237 20 54754 24 55272 26 55790 29 56308 31 56827 31 57346 33 57865 33 58384 34 58903 34 59422 35 59941 35 60460 35 60979 35 61498 35 62017 35 62537 33 63057 31 63577 30 64097 28 64619 23 65141 19 65661 16
0999dab07b11bc85fb8464fc36c947fbd8b5d6ec49817361cb780659ca805eac, 970 19 1488 21 2007 22 2526 22 3045 22 3564 22 4083 22 4603 20 5122 20 5641 19 6161 17 6681 16 7200 15 7721 12 8242 9
0999dab07b11bc85fb8464fc36c947fbd8b5d6ec49817361cb780659ca805eac, 63019 5 63536 8 64054 10 64573 11 65091 13 65609 14 66128 15 66646 16 67165 17 67684 17 68202 18 68721 19 69239 20 69758 20 70277 20 70796 20 71315 20 71834 20 72353 20 72872 20 73391 20 73910 20 74429 20 74948 20 75467 20 75986 20 76505 20 77024 19 77544 18 78063 18 78582 18 79101 17 79621 16 80140 15 80660 14 81179 14 81699 12 82219 10 82738 9 83258 7
0999dab07b11bc85fb8464fc36c947fbd8b5d6ec49817361cb780659ca805eac, 115114 9 115631 11 116150 12 116668 14 117186 15 117704 16 118223 16 118741 17 119259 18 119778 17 120296 18 120814 19 121333 19 121852 18 122370 19 122889 19 123408 19 123926 20 124445 19 124964 19 125482 20 126001 19 126520 19 127039 19 127558 18 128077 18 128596 17 129115 16 129635 14 130154 13 130674 11
0999dab07b11bc85fb8464fc36c947fbd8b5d6ec49817361cb780659ca805eac, 62892 4 63409 8 63926 11 64445 12 64963 14 65481 15 65999 17 66517 18 67036 19 67555 19 68073 20 68592 20 69110 22 69629 22 70148 22 70667 23 71186 23 71705 23 72224 22 72743 22 73262 22 73782 21 74301 21 74821 19 75340 19 75859 18 76379 17 76898 16 77418 15 77937 14 78457 13 78977 11 79496 11 80016 9 80535 8 81055 7
0999dab07b11bc85fb8464fc36c947fbd8b5d6ec49817361cb780659ca805eac, 113450 7 113968 10 114485 14 115003 16 115521 19 116039 21 116557 23 117076 24 117595 24 118114 25 118633 25 119152 26 119671 27 120190 28 120709 28 121228 28 121747 29 122266 29 122786 28 123306 27 123827 25 124348 23 124869 20 125391 17 125912 13
0999dab07b11bc85fb8464fc36c947fbd8b5d6ec49817361cb780659ca805eac, 46267 7 46783 15 47300 20 47818 23 48336 24 48854 26 49372 28 49890 29 50409 29 50928 29 51447 28 51966 27 52485 26 53004 25 53524 23 54044 20 54565 16 55088 8
0999dab07b11bc85fb8464fc36c947fbd8b5d6ec49817361cb780659ca805eac, 89662 9 90179 13 90697 16 91216 16 91734 19 92252 20 92771 21 93290 21 93809 22 94328 22 94847 23 95366 23 95885 23 96404 23 96923 23 97442 23 97961 22 98480 22 99000 21 99519 20 100039 19 100558 18 101078 17 101597 16 102117 14 102637 13 103158 9
0999dab07b11bc85fb8464fc36c947fbd8b5d6ec49817361cb780659ca805eac, 28607 8 29123 15 29640 18 30157 22 30675 23 31193 24 31711 25 32229 26 32748 26 33266 27 33784 27 34302 28 34821 27 35340 26 35859 25 36378 23 36897 22 37416 21 37935 20 38454 19 38973 18 39492 17 40012 15 40532 12 41052 9
0999dab07b11bc85fb8464fc36c947fbd8b5d6ec49817361cb780659ca805eac, 40830 3 41344 15 41861 20 42379 22 42896 25 43414 28 43933 28 44451 30 44969 31 45488 32 46007 32 46526 32 47045 32 47564 31 48083 30 48602 30 49121 28 49640 27 50160 25 50681 21 51206 12
0999dab07b11bc85fb8464fc36c947fbd8b5d6ec49817361cb780659ca805eac, 647 23 1166 24 1685 24 2204 25 2723 25 3242 25 3762 23 4282 22 4801 21 5321 20 5841 18 6361 16 6881 15 7401 12 7923 8
0999dab07b11bc85fb8464fc36c947fbd8b5d6ec49817361cb780659ca805eac, 6797 6 7315 9 7833 12 8351 14 8870 15 9388 17 9907 18 10425 19 10944 19 11462 21 11981 21 12500 21 13019 22 13538 22 14057 22 14576 21 15095 21 15614 21 16133 21 16652 20 17171 20 17690 20 18209 19 18728 18 19247 18 19766 17 20286 15 20805 14 21324 13 21844 11 22364 9 22884 7 23404 6
0999dab07b11bc85fb8464fc36c947fbd8b5d6ec49817361cb780659ca805eac, 10242 9 10759 13 11276 16 11793 19 12311 21 12829 22 13347 23 13865 24 14383 25 14902 25 15420 26 15939 26 16457 27 16975 28 17494 27 18013 27 18532 26 19051 25 19570 25 20089 24 20608 23 21127 23 21646 22 22165 21 22684 20 23204 18 23724 15 24245 11 24768 3
0999dab07b11bc85fb8464fc36c947fbd8b5d6ec49817361cb780659ca805eac, 20909 8 21426 11 21945 12 22463 14 22981 16 23500 17 24019 18 24537 20 25056 21 25575 21 26093 23 26612 23 27131 24 27650 25 28169 25 28689 24 29208 24 29727 25 30246 25 30765 25 31285 24 31804 24 32323 23 32842 23 33363 20 33884 18 34405 15 34925 13 35445 11 35966 8
0999dab07b11bc85fb8464fc36c947fbd8b5d6ec49817361cb780659ca805eac, 116807 7 117324 10 117842 12 118360 14 118878 16 119397 17 119915 19 120434 19 120953 20 121472 20 121990 22 122509 22 123028 22 123547 22 124066 22 124585 22 125104 22 125623 22 126142 22 126661 21 127181 20 127700 19 128220 18 128739 17 129259 16 129779 15 130299 12 130820 10
0999dab07b11bc85fb8464fc36c947fbd8b5d6ec49817361cb780659ca805eac, 24937 6 25454 11 25971 14 26488 17 27005 20 27523 22 28041 23 28559 25 29077 26 29595 27 30113 28 30631 29 31150 29 31669 28 32188 28 32707 27 33226 27 33745 26 34264 25 34783 24 35303 21 35823 18 36342 17 36862 14 37382 11 37903 9
0999dab07b11bc85fb8464fc36c947fbd8b5d6ec49817361cb780659ca805eac, 112769 8 113285 15 113801 21 114318 25 114835 28 115353 31 115872 32 116391 32 116910 33 117429 33 117948 33 118467 33 118986 32 119505 32 120024 31 120544 29 121065 26 121586 23 122108 18 122632 10
0999dab07b11bc85fb8464fc36c947fbd8b5d6ec49817361cb780659ca805eac, 89995 9 90513 12 91031 15 91549 17 92068 18 92586 20 93104 22 93623 22 94142 23 94661 24 95180 24 95699 25 96218 26 96737 26 97256 27 97775 28 98295 27 98815 26 99334 26 99854 25 100374 24 100894 23 101413 23 101933 22 102453 20 102973 19 103493 17 104013 16 104534 12 105054 11
0999dab07b11bc85fb8464fc36c947fbd8b5d6ec49817361cb780659ca805eac, 56755 4 57271 12 57788 16 58305 20 58823 21 59342 22 59860 24 60378 25 60896 27 61414 28 61933 28 62452 28 62971 28 63490 28 64009 27 64528 27 65047 26 65566 24 66086 22 66606 19 67127 14 67648 9
0999dab07b11bc85fb8464fc36c947fbd8b5d6ec49817361cb780659ca805eac, 28270 6 28787 11 29305 15 29823 18 30342 19 30861 20 31379 22 31898 23 32417 24 32936 25 33455 25 33975 25 34494 26 35013 26 35532 26 36052 25 36571 25 37091 24 37610 23 38130 21 38650 20 39169 19 39689 17 40209 15 40730 12 41250 9
0999dab07b11bc85fb8464fc36c947fbd8b5d6ec49817361cb780659ca805eac, 84329 6 84846 12 85363 18 85880 21 86398 24 86916 26 87435 27 87954 28 88473 28 88992 29 89511 29 90030 30 90549 30 91069 29 91589 28 92109 27 92628 26 93148 25 93668 23 94188 22 94709 18 95229 16 95751 12 96273 8
0999dab07b11bc85fb8464fc36c947fbd8b5d6ec49817361cb780659ca805eac, 79180 4 79696 10 80214 13 80732 16 81249 20 81768 22 82287 24 82806 24 83325 25 83844 26 84363 27 84882 27 85401 28 85920 28 86440 28 86960 27 87479 27 87999 25 88520 23 89040 21 89560 19 90081 16 90603 11 91125 5
0999dab07b11bc85fb8464fc36c947fbd8b5d6ec49817361cb780659ca805eac, 109435 12 109953 15 110470 19 110988 21 111506 23 112024 25 112543 26 113061 27 113580 28 114099 28 114619 28 115138 28 115658 28 116177 28 116697 27 117216 27 117736 27 118256 26 118776 26 119296 25 119816 24 120336 23 120857 21 121378 19 121898 18 122419 15 122938 15 123460 11
0999dab07b11bc85fb8464fc36c947fbd8b5d6ec49817361cb780659ca805eac, 90470 14 90985 18 91501 20 92019 21 92536 22 93054 23 93572 24 93602 2 94091 24 94118 5 94609 34 95128 34 95647 34 96166 34 96685 34 97205 33 97725 32 98245 31 98765 29 99285 27 99805 26 100325 24 100846 21 101366 19 101886 17 102407 14 102929 8
0999dab07b11bc85fb8464fc36c947fbd8b5d6ec49817361cb780659ca805eac, 227 27 746 27 1265 28 1784 28 2303 28 2822 28 3341 29 3860 29 4379 29 4898 29 5417 29 5937 28 6457 26 6976 26 7496 24 8015 24 8534 23 9053 23 9573 21 10092 21 10611 20 11131 19 11650 18 12170 16 12689 15 13209 13 13730 10 14250 7
0999dab07b11bc85fb8464fc36c947fbd8b5d6ec49817361cb780659ca805eac, 66870 4 67386 23 67903 28 68420 32 68938 34 69457 35 69975 37 70494 37 71013 37 71532 37 72051 37 72571 35 73091 32 73612 29 74133 25 74658 17 75184 7
0999dab07b11bc85fb8464fc36c947fbd8b5d6ec49817361cb780659ca805eac, 114435 4 114951 9 115469 12 115986 14 116503 17 117021 19 117538 21 118056 22 118573 25 119091 26 119609 27 120127 28 120646 27 121164 28 121682 29 122200 30 122719 29 123238 29 123756 30 124275 31 124794 32 125313 33 125832 33 126351 33 126871 32 127390 32 127910 31 128430 30 128950 29 129470 12 129485 13 129992 5 130006 10
0999dab07b11bc85fb8464fc36c947fbd8b5d6ec49817361cb780659ca805eac, 47124 8 47639 14 48155 19 48672 23 49190 25 49707 29 50226 29 50744 32 51262 33 51781 33 52300 33 52819 33 53338 33 53857 33 54377 32 54896 30 55416 28 55937 24 56457 21 56979 15 57502 5
0999dab07b11bc85fb8464fc36c947fbd8b5d6ec49817361cb780659ca805eac, 99988 10 100506 12 101024 15 101542 17 102060 19 102579 20 103097 21 103616 21 104134 23 104653 23 105172 23 105690 25 106209 25 106728 25 107247 25 107766 24 108285 24 108804 24 109323 23 109842 23 110361 22 110880 22 111399 21 111918 20 112438 18 112958 16 113478 15 113998 12 114519 9 115040 4
0999dab07b11bc85fb8464fc36c947fbd8b5d6ec49817361cb780659ca805eac, 8375 9 8893 11 9412 12 9931 13 10450 14 10969 15 11488 15 12007 16 12526 16 13045 17 13564 17 14083 17 14602 17 15121 18 15640 18 16159 18 16679 18 17198 18 17718 17 18237 17 18757 17 19276 17 19796 16 20315 17 20835 16 21354 16 21874 14 22393 14 22913 13 23433 11 23953 9
0999dab07b11bc85fb8464fc36c947fbd8b5d6ec49817361cb780659ca805eac, 1366 12 1883 18 2400 22 2918 24 3435 28 3953 30 4472 30 4991 30 5510 31 6029 30 6548 30 7067 29 7588 26 8109 23 8642 7
0999dab07b11bc85fb8464fc36c947fbd8b5d6ec49817361cb780659ca805eac, 125962 9 126479 13 126996 16 127515 16 128034 17 128552 18 129070 19 129589 20 130107 21 130627 20 131146 19
0999dab07b11bc85fb8464fc36c947fbd8b5d6ec49817361cb780659ca805eac, 396 24 914 26 1433 27 1952 27 2472 26 2991 27 3510 27 4030 26 4550 25 5070 23 5590 22 6110 20 6630 18 7151 15 7672 11
